date;open;high;low;close;volume;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD;
1993/01/15;913.44;1099.83;901.47;1063.76;27631;839.21;717.85;687.20;651.36;;;678.57;752.54;;;2763100.00;1318700.00;1179380.00;86.83;74.23;112.03;687.20;1009.52;364.88;30.33;-12.45;85.57;
1993/01/22;1067.98;1109.59;984.74;1100.31;15566;919.64;786.47;704.54;665.37;;;727.99;750.94;;;1556600.00;1495980.00;1278750.00;90.78;79.75;112.85;704.54;1075.51;333.56;54.17;0.87;106.59;
1993/01/29;1126.37;1198.48;1113.57;1198.48;14527;1006.48;866.18;725.64;680.86;;;789.78;756.57;;;1452700.00;1586180.00;1373790.00;93.86;84.45;112.66;725.64;1156.96;294.33;80.05;16.71;126.69;
1993/02/05;1242.35;1404.64;1222.18;1332.96;30667;1117.00;935.71;754.57;698.45;;;866.35;769.18;;;3066700.00;2081500.00;1553890.00;92.96;87.29;104.31;754.57;1264.46;244.69;110.15;35.40;149.51;
1993/02/12;1339.59;1528.51;1334.19;1458.76;37612;1230.85;1000.88;791.02;718.05;;;954.46;792.27;;;3761200.00;2520060.00;1792600.00;92.62;89.07;99.73;791.02;1389.90;192.15;142.51;56.82;171.39;
1993/02/19;1544.10;1558.95;1441.07;1499.74;25309;1318.05;1078.63;830.89;738.20;;;1026.30;814.71;;;2530900.00;2473620.00;1896160.00;92.79;90.31;97.75;830.89;1506.20;155.58;169.51;79.36;180.31;
1993/02/26;1487.84;1527.13;1196.47;1339.88;29159;1365.96;1142.80;864.87;755.59;;;1070.70;833.62;;;2915900.00;2745480.00;2120730.00;86.11;88.91;80.53;864.87;1571.69;158.05;175.98;98.68;154.60;
1993/03/05;1328.22;1339.10;1026.18;1109.54;17821;1348.18;1177.33;887.11;769.05;;;1102.98;847.31;;;1782100.00;2811360.00;2198770.00;71.58;83.13;48.48;887.11;1595.41;178.81;160.67;111.08;99.18;
1993/03/12;1133.52;1325.49;1089.36;1236.37;23028;1328.86;1222.93;920.94;784.54;;;1147.83;865.01;;;2302800.00;2658580.00;2370040.00;64.70;76.99;40.12;920.94;1628.04;213.85;156.96;120.26;73.41;
1993/03/19;1226.66;1241.04;1155.10;1174.99;11058;1272.10;1251.48;954.33;798.97;;;1182.05;881.18;;;1105800.00;2127500.00;2323780.00;54.18;69.39;23.76;954.33;1641.97;266.69;147.37;125.68;43.38;
1993/03/26;1148.29;1179.05;913.74;1039.76;16793;1180.11;1249.08;983.47;811.08;;;1203.67;893.10;;;1679300.00;1957180.00;2215400.00;42.63;60.47;6.95;983.47;1630.57;336.36;127.39;126.02;2.73;
1993/04/02;1008.40;1047.88;915.59;944.01;10739;1100.93;1233.45;1009.96;821.57;498.43;;1208.21;902.40;;;1073900.00;1588780.00;2167130.00;29.98;50.31;-10.66;1009.96;1599.77;420.16;102.64;121.34;-37.41;
1993/04/09;945.58;1340.91;924.49;1243.02;38517;1127.63;1237.90;1052.04;836.95;507.88;;1223.15;924.81;;;3851700.00;2002700.00;2407030.00;37.00;45.87;19.26;1052.04;1575.39;528.69;105.94;118.26;-24.65;
1993/04/16;1254.62;1341.19;1195.57;1214.75;34365;1123.31;1226.08;1080.89;851.21;516.94;;1232.69;945.97;;;3436500.00;2229440.00;2444010.00;40.22;43.99;32.68;1080.89;1570.60;591.19;105.06;115.62;-21.13;
1993/04/23;1203.85;1295.76;1185.76;1260.25;21103;1140.36;1206.23;1103.56;866.13;526.35;;1237.84;972.91;;;2110300.00;2430340.00;2278920.00;45.64;44.54;47.85;1103.56;1581.71;625.40;106.80;113.86;-14.12;
1993/04/30;1298.92;1392.62;1282.54;1358.78;32757;1204.16;1192.14;1135.38;882.58;536.55;;1239.99;1005.66;;;3275700.00;2749620.00;2353400.00;61.41;50.16;83.90;1135.38;1590.88;679.89;114.81;114.05;1.52;
1993/05/07;1365.15;1380.50;1151.49;1199.81;26658;1255.32;1178.13;1160.47;896.31;545.43;;1218.41;1034.23;;;2665800.00;3068000.00;2328390.00;60.85;53.72;75.10;1160.47;1567.22;753.71;107.09;112.66;-11.13;
1993/05/14;1216.72;1221.98;1107.66;1167.47;13376;1240.21;1183.92;1180.63;909.47;554.06;;1190.72;1063.20;;;1337600.00;2565180.00;2283940.00;58.23;55.23;64.23;1180.63;1542.16;819.09;97.25;109.57;-24.65;
