date;open;high;low;close;volume;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD
1997/04/30;1243.87;1396.48;1222.55;1393.74;2117321;1110.02;1006.77;823.98;806.86;;;;;;;211732096.00;152224864.00;139246208.00;83.98;76.18;99.57;823.98;1293.26;354.70;137.50;76.71;121.58
1997/05/30;1398.14;1510.17;1213.24;1285.18;1562594;1183.66;1053.04;852.12;807.70;;;;;;;156259392.00;140072496.00;140862368.00;79.42;77.26;83.74;852.12;1361.53;342.70;149.92;91.36;117.13
1997/06/27;1302.82;1369.51;1154.97;1250.27;973748;1240.76;1097.07;878.76;808.68;;;;;;;97374800.00;145763888.00;142479968.00;73.10;75.87;67.55;878.76;1413.61;343.92;155.16;104.12;102.08
1997/07/31;1255.90;1261.57;1066.04;1189.76;908400;1270.71;1128.50;906.20;810.98;;;;;;;90840000.00;148463616.00;142713696.00;65.74;72.50;52.24;906.20;1445.98;366.41;152.66;113.83;77.68
1997/08/29;1191.65;1223.07;1116.14;1221.06;925144;1268.00;1152.93;939.48;817.61;;;;;;;92514400.00;129744128.00;133495936.00;62.43;69.14;49.02;939.48;1470.19;408.78;151.47;121.35;60.23
1997/09/30;1224.17;1264.48;1025.13;1097.38;923465;1208.73;1159.38;967.49;824.19;;;;;;;92346496.00;105867008.00;129045936.00;53.46;63.91;32.54;967.49;1467.04;467.93;138.94;124.87;28.14
1997/10/31;1100.70;1241.83;1087.01;1180.39;704296;1187.77;1185.72;998.86;835.41;;;;;;;70429600.00;88701080.00;114386792.00;51.79;59.87;35.64;998.86;1466.59;531.13;134.16;126.73;14.86
1997/11/28;1181.16;1213.22;1114.13;1139.62;634696;1165.64;1203.20;1028.02;842.33;;;;;;;63469600.00;81920000.00;113841944.00;42.40;54.05;19.10;1028.02;1450.09;605.95;125.64;126.51;-1.75
1997/12/31;1137.58;1198.97;1119.20;1194.10;669364;1166.51;1218.61;1053.67;849.22;;;;;;;66936400.00;77139304.00;112801456.00;39.88;49.33;20.98;1053.67;1448.45;658.89;121.87;125.58;-7.42
1998/01/23;1200.94;1250.00;1110.08;1222.91;708196;1166.88;1217.44;1082.63;849.63;;;;;;;70819600.00;72800304.00;101272216.00;40.18;46.28;27.98;1082.63;1433.29;731.98;119.83;124.43;-9.20
1998/02/27;1257.99;1262.62;1189.51;1206.53;602697;1188.71;1198.72;1102.74;847.41;;;;;;;60269700.00;66385000.00;86126000.00;44.34;45.63;41.77;1102.74;1431.64;773.85;115.56;122.66;-14.19
1998/03/31;1196.74;1252.24;1175.55;1243.01;859723;1201.23;1194.50;1123.77;852.69;;;;;;;85972304.00;69493504.00;79097296.00;59.91;50.39;78.94;1123.77;1430.23;817.32;113.81;120.89;-14.16
1998/04/30;1243.37;1343.46;1240.05;1343.44;2239798;1242.00;1203.82;1150.45;852.44;;;;;;;223979808.00;101595544.00;91757776.00;73.27;58.02;103.77;1150.45;1433.89;867.00;119.15;120.54;-2.78
1998/05/29;1353.05;1411.34;1324.72;1411.20;1891089;1285.42;1225.96;1177.23;860.37;;;;;;;189108896.00;126030080.00;101584688.00;82.17;66.07;114.37;1177.23;1452.41;902.05;127.38;121.91;10.95
1998/06/30;1418.35;1422.97;1323.52;1339.20;1422142;1308.68;1237.78;1195.36;865.90;;;;;;;142214208.00;140308992.00;106554648.00;79.80;70.64;98.11;1195.36;1462.56;928.15;126.64;122.85;7.56
1998/07/31;1363.26;1367.14;1278.30;1316.91;1072064;1330.75;1259.73;1209.55;873.17;;;;;;;107206400.00;149696352.00;108040680.00;75.23;72.17;81.35;1209.55;1470.52;948.58;122.83;122.85;-0.04
1998/08/31;1315.13;1315.47;1043.02;1150.22;1154731;1312.19;1256.71;1221.21;877.41;;;;;;;115473104.00;155596496.00;112545000.00;59.56;67.97;42.74;1221.21;1445.40;997.03;105.15;119.31;-28.32
1998/09/30;1142.50;1264.39;1123.63;1242.89;1550170;1292.08;1267.04;1235.12;883.28;;;;;;;155016992.00;141803984.00;121699760.00;57.24;64.39;42.94;1235.12;1424.05;1046.20;97.50;114.95;-34.90
1998/10/30;1245.73;1263.71;1191.55;1217.31;1171619;1253.31;1269.36;1243.99;889.99;;;;;;;117161904.00;127414480.00;126722280.00;53.45;60.75;38.86;1243.99;1409.56;1078.41;88.35;109.63;-42.56
1998/11/30;1217.33;1300.15;1210.84;1247.41;1224131;1234.95;1271.81;1244.63;894.37;;;;;;;122413104.00;123454360.00;131881680.00;53.57;58.35;43.99;1244.63;1410.15;1079.10;82.57;104.22;-43.29
1998/12/31;1249.00;1251.86;1125.55;1146.70;723221;1200.90;1265.83;1232.27;899.58;;;;;;;72322096.00;116477440.00;133086896.00;44.81;53.84;26.74;1232.27;1387.49;1077.05;69.07;97.19;-56.23
1999/01/29;1144.88;1174.42;1104.50;1134.67;931160;1197.80;1254.99;1224.75;905.66;;;;;;;93116000.00;112006040.00;133801264.00;37.91;48.53;16.68;1224.75;1383.72;1065.78;56.75;89.10;-64.70
1999/02/09;1131.65;1131.66;1064.17;1090.08;276356;1167.23;1229.66;1216.74;910.97;;;;;;;27635600.00;86529744.00;114166864.00;29.40;42.15;3.90;1216.74;1386.10;1047.38;42.89;79.86;-73.93
1999/03/31;1092.14;1179.65;1084.15;1158.05;1367199;1155.38;1204.34;1215.15;918.53;;;;;;;136719904.00;90441424.00;108927952.00;31.43;38.58;17.14;1215.15;1386.16;1044.15;36.97;71.28;-68.63
1999/04/30;1158.68;1210.10;1087.79;1120.92;1621355;1130.08;1182.52;1210.15;927.34;;;;;;;162135504.00;98385816.00;110920088.00;30.49;35.88;19.69;1210.15;1386.21;1034.08;28.94;62.81;-67.74
1999/05/31;1120.90;1303.48;1047.83;1279.32;2285235;1156.61;1178.76;1219.24;939.39;;;;;;;228523504.00;129626112.00;123051776.00;50.51;40.76;70.01;1219.24;1389.48;1049.00;34.96;57.24;-44.56
1999/06/30;1283.30;1756.18;1259.00;1689.42;6404485;1267.56;1232.68;1244.70;959.73;;;;;;;640448512.00;239092640.00;175549344.00;63.86;48.46;94.67;1244.70;1513.91;975.48;71.99;60.19;23.60
1999/07/30;1678.83;1678.83;1471.50;1601.45;3671153;1369.83;1268.53;1267.79;980.85;;;;;;;367115296.00;306988544.00;196759136.00;68.63;55.18;95.52;1267.79;1575.52;960.05;93.17;66.79;52.76
1999/08/31;1607.06;1658.69;1546.83;1627.11;2371208;1463.64;1309.51;1289.44;994.88;;;;;;;237120800.00;327068672.00;208755040.00;73.01;61.12;96.78;1289.44;1634.06;944.81;110.74;75.58;70.33
1999/09/30;1627.82;1695.64;1556.74;1570.70;1632967;1553.60;1341.84;1306.83;1007.87;;;;;;;163296704.00;327300928.00;212843360.00;73.28;65.18;89.49;1306.83;1671.81;941.84;118.75;84.21;69.08
1999/10/29;1568.23;1568.37;1452.70;1504.56;1019668;1598.65;1377.63;1321.73;1022.03;;;;;;;101966800.00;301989568.00;215807840.00;70.35;66.90;77.24;1321.73;1693.74;949.71;118.40;91.05;54.69
1999/11/30;1501.73;1506.99;1427.35;1434.97;1294462;1547.76;1407.66;1331.33;1034.56;;;;;;;129446200.00;199789152.00;219440896.00;65.11;66.30;62.74;1331.33;1704.69;957.96;111.22;95.08;32.27
1999/12/30;1434.97;1461.89;1341.05;1366.58;1100448;1500.78;1435.31;1332.48;1046.54;;;;;;;110044800.00;148375040.00;227681792.00;58.41;63.67;47.88;1332.48;1706.15;958.82;98.87;95.84;6.06
2000/01/28;1368.69;1547.70;1361.21;1534.99;2907630;1482.36;1473.00;1338.67;1062.74;;;;;;;290763008.00;159103488.00;243086080.00;61.86;63.07;59.45;1338.67;1721.81;955.54;101.50;96.97;9.06
2000/02/29;1591.44;1770.88;1583.58;1714.57;3728387;1511.13;1532.37;1357.44;1082.16;;;;;;;372838688.00;201011920.00;264156416.00;70.91;65.68;81.36;1357.44;1775.84;939.04;116.74;100.92;31.62
2000/03/31;1720.59;1811.06;1596.07;1800.22;4689867;1570.27;1584.46;1381.61;1101.39;;;;;;;468986688.00;274415936.00;288202752.00;79.84;70.40;98.71;1381.61;1843.70;919.52;134.17;107.57;53.19
2000/04/28;1799.57;1858.26;1746.30;1836.32;2990685;1650.54;1599.15;1415.91;1122.33;;;;;;;299068512.00;308340320.00;254064736.00;85.14;75.32;104.80;1415.91;1906.66;925.17;149.18;115.90;66.57
2000/05/31;1848.17;1908.30;1695.53;1894.55;2101113;1756.13;1628.46;1448.49;1142.23;;;;;;;210111296.00;328353696.00;238364368.00;89.29;79.97;107.92;1448.49;1976.02;920.96;163.89;125.49;76.79
2000/06/30;1900.53;1953.33;1884.61;1928.10;3118640;1834.75;1658.56;1484.03;1163.85;;;;;;;311864000.00;332573792.00;245838640.00;91.49;83.81;106.83;1484.03;2040.94;927.13;176.22;135.64;81.16
2000/07/31;1917.44;2024.99;1888.24;2023.53;3220601;1896.54;1703.84;1522.84;1185.98;;;;;;;322060096.00;322418080.00;261714992.00;94.25;87.29;108.17;1522.84;2117.22;928.46;191.49;146.81;89.35
2000/08/31;2027.01;2114.52;1980.34;2021.19;3762162;1940.74;1755.50;1566.57;1207.61;;;;;;;376216192.00;303864000.00;289139968.00;92.15;88.91;98.62;1566.57;2172.98;960.15;201.08;157.66;86.83
2000/09/29;2009.15;2026.35;1874.21;1910.16;1543119;1955.51;1803.02;1605.34;1227.40;;;;;;;154311904.00;274912672.00;291626496.00;85.72;87.85;81.47;1605.34;2194.40;1016.28;197.44;165.62;63.65
2000/10/31;1912.07;1980.62;1896.94;1961.28;1294944;1968.85;1862.49;1648.90;1248.13;;;;;;;129494400.00;258789168.00;293571424.00;80.86;85.52;71.54;1648.90;2205.48;1092.32;196.42;171.78;49.29
2000/11/30;1961.08;2125.72;1959.72;2070.61;2510430;1997.35;1916.05;1694.53;1271.96;949.88;;;;;;251043008.00;246625280.00;289599552.00;83.77;84.94;81.44;1694.53;2230.94;1158.12;202.11;177.84;48.52
2000/12/29;2073.08;2097.28;2024.28;2073.47;2536595;2007.34;1951.94;1742.15;1297.26;966.10;;;;;;253659504.00;232945056.00;277681568.00;85.13;85.00;85.39;1742.15;2231.18;1253.13;204.49;183.17;42.63
2001/01/19;2077.07;2131.98;2007.70;2065.60;1826850;2016.22;1978.48;1781.47;1322.73;982.23;;;;;;182684992.00;194238672.00;249051344.00;85.02;85.01;85.04;1781.47;2239.25;1323.69;203.39;187.22;32.35
2001/02/28;2069.85;2072.54;1893.78;1959.18;1250812;2026.03;1990.77;1794.96;1346.17;997.45;;;;;;125081200.00;188392656.00;231652656.00;67.67;79.23;44.55;1794.96;2257.19;1332.72;191.73;188.12;7.22
2001/03/30;1959.00;2112.87;1953.72;2112.77;3514745;2056.33;2012.59;1820.52;1372.11;1014.05;;;;;;351474496.00;232788784.00;245788976.00;75.96;78.14;71.61;1820.52;2294.12;1346.93;192.65;189.03;7.26
2001/04/30;2117.45;2179.74;2081.64;2119.18;4460428;2066.04;2031.70;1845.13;1396.08;1030.76;;;;;;446042816.00;271788448.00;259206864.00;77.37;77.88;76.34;1845.13;2327.46;1362.79;191.70;189.56;4.28
2001/05/31;2119.89;2222.65;2119.89;2214.25;3323178;2094.20;2050.77;1877.30;1422.25;1048.26;;;;;;332317792.00;287520160.00;260232608.00;84.11;79.96;92.41;1877.30;2368.34;1386.27;196.35;190.92;10.86
2001/06/29;2216.56;2245.43;2157.12;2218.02;3219007;2124.68;2070.45;1912.98;1445.82;1065.59;;;;;;321900704.00;315363520.00;254801104.00;86.81;82.24;95.94;1912.98;2393.55;1432.41;198.05;192.34;11.42
